"id","geom","peso"
12,"MULTILINESTRING ((230974.7028000001 4146457.761499999, 230899.55289999954 4146453.7413999997, 230891.7028000001 4146436.5414000005, 230613.93290000036 4146441.691400001, 230190.79289999977 4146450.8014, 230003.8827999998 4146542.5913999993, 229691.30289999954 4146907.1713999994, 229451.0828999998 4147188.7015000004, 229429.0527999997 4147538.5113999993, 229324.99289999995 4149229.2715000007, 229289.63289999962 4149803.7914000005, 229263.2128999997 4150232.931399999, 229235.05289999954 4150690.5813999996, 229151.01279999968 4152055.8915, 229121.13289999962 4152597.4814, 229100.68290000036 4152872.7014000006, 228968.29289999977 4155015.9614000004, 228938.0828999998 4155505.1613999996, 228828.64290000033 4157276.8014, 228814.07290000003 4157520.9113999996, 228805.3827999998 4157934.191400001, 228757.89290000033 4160332.9014, 228749.45289999992 4160759.2314999998, 228741.54279999994 4161158.3714000005, 228716.12289999984 4162442.3313999996, 228705.81280000042 4162963.2214, 228696.36290000007 4163440.1514, 228679.98280000035 4164267.5314000007, 228669.82290000003 4164805.8114, 228544.24289999995 4165418.4514000006, 228110.1928000003 4167544.5913999993, 228017.57290000003 4168000.7313, 227676.8529000003 4168426.4113999996, 226841.2229000004 4169472.3814000003, 226710.7229000004 4169635.7414999995, 226572.18290000036 4169857.1414, 226521.73319999967 4169920.867900001))",
13,"MULTILINESTRING ((360774.64919999987 4168148.671599999, 360774.1501000002 4168148.6432000007, 360742.5175999999 4168146.8453, 360540.94010000024 4168087.649, 360540.3082999997 4168087.5591, 360183.34329999983 4168036.7596000005, 359823.9285000004 4167985.6103000008, 359409.9921000004 4167926.7027000003, 359178.5087000001 4167893.7596000005, 358820.2786999997 4167842.7796, 358399.9721999997 4167782.966, 358096.7664999999 4167739.8165000007, 357974.15610000025 4167672.6668, 357662.6941999998 4167502.089400001, 357434.70550000016 4167377.228, 357108.9762000004 4167198.8379999995, 356797.0088999998 4167027.9842000008, 356483.39940000046 4166856.2314999998, 356157.92619999964 4166677.9793, 355937.3315000003 4166557.161699999, 355687.91170000006 4166420.5571999997, 355268.20100000035 4166190.6862000003, 354976.5516999997 4166030.9535000008, 354675.8646999998 4165866.2699999996, 354426.2154000001 4165729.5396, 354212.92399999965 4165612.7222000007, 353859.42509999964 4165419.1147000007, 353634.3002000004 4165295.816400001, 353376.7045 4165154.7339999992, 353148.84049999993 4164923.0788000003, 352948.93510000035 4164719.8463000003, 352704.2076000003 4164471.0453999992, 352502.3435000004 4164265.8220000006, 352255.5533999996 4164014.9243, 352092.41170000006 4163849.067399999, 351940.3682000004 4163694.489499999, 351907.2282999996 4163511.6361999996, 351949.2120000003 4163439.1655, 351986.19969999976 4163412.5757, 351987.95139999967 4163407.8296000008, 351989.68740000017 4163403.1259000003))",
150,"MULTILINESTRING ((245481.25700000022 4137903.8642999995, 245481.03100000042 4137903.4181999993, 245480.8049999997 4137902.9723000005))",
14,"MULTILINESTRING ((360773.62770000007 4168166.6433000006, 360739.44020000007 4168164.6998999994, 360738.4241000004 4168164.4014999997, 360537.11670000013 4168105.2865999993, 360180.80790000036 4168054.5791999996, 359821.39300000016 4168003.4299, 359407.4567 4167944.5221999995, 359175.9732999997 4167911.5791999996, 358817.7433000002 4167860.599199999, 358397.4369000001 4167800.785599999, 358090.9911000002 4167757.1761000007, 358089.5257000001 4167756.3735000007, 357965.5108000003 4167688.4541999996, 357654.0488 4167517.8769000005, 357426.06010000035 4167393.0154999997, 357100.3309000004 4167214.625499999, 356788.3635 4167043.7716000006, 356474.75409999955 4166872.019099999, 356149.2812000001 4166693.7666999996, 355928.68649999984 4166572.949100001, 355679.26669999957 4166436.3445999995, 355259.55590000004 4166206.4736, 354967.90670000017 4166046.7410000004, 354667.21970000025 4165882.057499999, 354417.5702999998 4165745.3269999996, 354204.2790000001 4165628.5096000005, 353850.7801000001 4165434.9020000007, 353625.6551999999 4165311.6038000006, 353366.86730000004 4165169.8684, 353365.7335000001 4165169.2474000007, 353136.00960000046 4164935.7003000006, 352936.10419999994 4164732.467700001, 352691.3766999999 4164483.6668999996, 352489.5126 4164278.4433999993, 352242.72250000015 4164027.545600001, 352079.5806999998 4163861.6888999995, 351925.56539999973 4163705.1071000006, 351923.6473000003 4163703.1569999997, 351888.9249999998 4163511.5791999996, 351888.33719999995 4163508.335999999, 351934.58860000037 4163428.5020000003, 351935.5725999996 4163426.8036, 351975.2882000003 4163398.251599999, 351975.69409999996 4163397.9597999994))",
15,"MULTILINESTRING ((546545.3496000003 4087753.7631, 546582.9012000002 4087782.1428999994, 546660.5368999997 4088013.037900001, 546639.4846999999 4088139.1633, 546872.4951 4087845.5402000006, 546915.2131000003 4087697.2863999996, 546937.5800000001 4087558.677100001, 546937.6851000004 4087558.0260000005, 546947.9469999997 4087525.3214999996, 546948.0965999998 4087524.8445999995))",
16,"MULTILINESTRING ((472518.8515999997 4197493.8706, 472337.84779999964 4197562.1416, 472111.14279999956 4197659.0428, 471875.8075000001 4197759.3039, 471630.73220000044 4197864.175100001, 471392.09700000007 4197966.1461, 471219.81319999974 4198039.686799999, 471009.5586000001 4198129.547700001, 470811.4844000004 4198214.2085, 470604.3244000003 4198148.2009, 470402.4243999999 4198083.813200001, 470182.7444000002 4198013.8258, 469945.0943999998 4197937.978700001, 469688.8343000002 4197856.401799999, 469442.7843000004 4197778.004799999, 469197.95419999957 4197699.9779, 468951.8047000002 4197621.506899999, 468751.4154000003 4197557.844699999, 468517.23620000016 4197483.0122, 468267.30680000037 4197403.3596, 468100.24739999976 4197349.9278, 467916.72780000046 4197291.5759, 467692.1283 4197220.0436, 467444.0588999996 4197140.9811, 467196.93929999974 4197062.2086, 466952.1596999997 4196984.2062, 466697.9001000002 4196903.1537999995, 466456.8205000004 4196826.3214, 466206.90079999994 4196746.639, 465962.0410000002 4196668.616800001, 465707.1512000002 4196587.384400001, 465464.3113000002 4196509.9322, 465215.04140000045 4196430.34, 464997.23139999993 4196361.3181, 464720.13129999954 4196272.945599999, 464525.6712999996 4196210.973999999, 464265.4812000003 4196128.0118, 464010.32189999986 4196046.5678, 463908.21219999995 4196014.0261, 463805.3825000003 4195981.2545, 463757.7435999997 4195966.071699999, 463729.54959999956 4195949.9168, 463729.1158999996 4195949.668400001))",
17,"MULTILINESTRING ((472527.33100000024 4197514.020400001, 472358.5970999999 4197591.9012, 472083.5175999999 4197822.7016, 471838.0892000003 4198028.401799999, 471512.8081 4198302.1119, 471269.7999 4198506.051899999, 471074.81340000033 4198669.7718, 470748.4526000004 4198943.7915, 470525.23139999993 4199264.149800001, 470309.6507000001 4199573.528000001, 470086.38800000027 4199893.9363, 469938.2297 4200106.5649999995, 469803.09219999984 4200300.503699999, 469664.1043999996 4200499.8725000005, 469335.0164999999 4200972.209000001, 469139.6659000004 4201252.526699999, 468899.1545000002 4201597.738299999, 468652.85450000037 4201910.4198, 468466.53699999955 4202147.0134, 468252.3685999997 4202418.9659, 467952.10699999984 4202800.145099999, 467787.02080000006 4203009.768999999, 467582.3332000002 4203269.7914, 467378.45600000024 4203528.433700001, 467146.27770000044 4203823.2348, 466927.20019999985 4204101.3762, 466798.9957999997 4204264.161, 466604.98929999955 4204510.5133, 466441.3940000003 4204718.556600001, 466289.56909999996 4204910.9504, 466111.8673999999 4205352.309699999, 465968.8981999997 4205707.491, 465860.0214999998 4205977.8134, 465763.83579999954 4206216.8465, 465678.0007999996 4206430.1404, 465542.733 4206766.1208, 465573.8744999999 4207085.715299999, 465600.5471999999 4207358.9506, 465622.19120000023 4207581.866900001, 465761.97250000015 4207861.164899999, 465903.08359999955 4208142.482899999, 465800.4378000004 4208405.065400001, 465790.51850000024 4208430.548800001, 465790.33719999995 4208431.014599999))",
18,"MULTILINESTRING ((450167.8678000001 4070043.8084999993, 450329.1227000002 4069863.5178999994, 450406.65720000025 4069776.8271999992, 450565.81259999983 4069598.8627000004, 450567.7260999996 4069596.723099999, 450603.2477000002 4069269.237299999, 450642.7315999996 4068903.7831999995, 450679.7854000004 4068559.9690000005, 450722.04959999956 4068169.6357000005, 450755.0828999998 4067863.8609999996, 450803.2477000002 4067418.0889, 450818.9593000002 4067272.761600001, 450852.3047000002 4066964.1645, 450852.4826999996 4066962.5173000004, 450818.9243999999 4066835.2376000006, 450814.2235000003 4066833.7476000004, 450687.02919999976 4066793.4321999997, 450681.2559000002 4066791.6021999996, 450670.20720000006 4066804.7588, 450669.8858000003 4066805.1415999997), (450002.7138 4070228.462099999, 450167.5345999999 4070044.1810999997, 450167.8678000001 4070043.8084999993), (448208.4637000002 4072226.3126, 448559.13850000035 4071839.7799999993, 448559.4742999999 4071839.4098000005), (448559.4742999999 4071839.4098000005, 448924.70710000023 4071433.0135999992, 449079.1721000001 4071261.0394, 449337.8903999999 4070973.0797000006, 449588.17819999997 4070694.6701999996, 449856.2708999999 4070392.1933999993, 449856.60250000004 4070391.8192999996), (449856.60250000004 4070391.8192999996, 450002.3805999998 4070228.8345999997, 450002.7138 4070228.462099999), (453821.95749999955 4077307.9188, 453702.98110000044 4077218.630999999, 453123.8898 4076778.2709999997, 453089.23220000044 4076721.792199999, 452862.7082000002 4076349.2004000004, 452708.0557000004 4076094.8477, 452221.4900000002 4075624.659499999, 451779.88350000046 4075197.898499999, 451629.7182 4075052.7913000006, 451325.4578999998 4074758.7662000004, 451158.7232999997 4074597.6385999992, 450828.2642999999 4074277.9926999994, 450455.9068 4073919.0263, 450190.68599999975 4073661.5782999992, 449978.5935000004 4073457.2693000007, 449896.0864000004 4073376.9197000004, 449761.31120000035 4073247.3200000003, 449629.95600000024 4073120.4102999996, 449500.1607999997 4072994.8904999997, 449422.6127000004 4072948.75, 449147.14940000046 4072784.838199999, 448881.716 4072626.8960999995, 448634.23170000035 4072479.633199999, 448404.92700000014 4072343.190300001, 448208.89329999965 4072226.5681, 448208.4637000002 4072226.3126))",
19,"MULTILINESTRING ((246389.82270000037 4148166.275800001, 246564.85680000018 4147946.649700001, 246748.70419999957 4147718.5140000004, 246944.64269999973 4147475.3749, 247082.76549999975 4147303.9781, 247275.46910000034 4147351.032400001, 247280.60360000003 4147335.3981999997, 247280.7597000003 4147334.9229000006), (244737.00590000022 4147679.3981999997, 244737.24149999954 4147679.839400001, 244760.71690000035 4147723.7962999996, 244926.68829999957 4147831.1599000003, 245325.34800000023 4147952.4693, 245605.55730000045 4148038.5822, 245839.09659999982 4148109.3762999997, 245840.53249999974 4148110.5692999996, 246190.55929999985 4148401.3717), (246190.55929999985 4148401.3717, 246287.23610000033 4148287.3236999996, 246389.82270000037 4148166.275800001))",
20,"MULTILINESTRING ((597118.4584999997 4092866.9702000003, 597119.8426999999 4092901.3808999993, 597156.6152999997 4092929.739600001, 597144.7966999998 4093068.3122000005, 597160.9044000003 4093069.8825000003))",
21,"MULTILINESTRING ((153332.45349999983 4123131.9076000005, 153373.8063000003 4123174.3785999995, 153369.2993999999 4123178.7676999997, 153356.85529999994 4123212.6646, 153359.85319999978 4123218.3015, 153362.53409999982 4123223.3474000003, 153368.72190000024 4123230.5901999995), (153332.45349999983 4123131.9076000005, 153472.45720000006 4122990.2815000005, 153695.2525000004 4122785.4396, 153640.7182 4122731.810799999, 153640.3613 4122731.4597999994))",
22,"MULTILINESTRING ((432059.9612999996 4201036.9124, 431952.1253000004 4201279.8836, 431820.22530000005 4201559.9913, 431681.1453999998 4201855.7684, 431552.4955000002 4202129.306700001, 431414.0058000004 4202424.0141, 431237.1760999998 4202800.078199999, 431116.7664000001 4203056.0976, 430952.2170000002 4203406.233200001, 430776.69770000037 4203779.528000001, 430631.8284 4204087.625499999, 430432.2571999999 4204343.8126, 430432.39639999997 4204347.1131, 430437.41610000003 4204466.110200001, 430437.43709999975 4204466.6096), (432059.9612999996 4201036.9124, 431814.0055999998 4201101.787900001, 431552.06570000015 4201171.133199999, 431287.58079999965 4201241.1524, 431030.18010000046 4201312.4977, 430776.26520000026 4201382.5722, 430775.7834000001 4201382.7052), (430826.9556 4199974.0890999995, 430806.23479999974 4200047.232000001, 430801.0521 4200274.5155, 430791.27529999986 4200703.275900001, 430783.3816999998 4201049.4616, 430775.79480000027 4201382.205499999, 430775.7834000001 4201382.7052))",
23,"MULTILINESTRING ((430432.34580000024 4204417.8105999995, 430428.26269999985 4204409.8299, 430331.06790000014 4204153.0525, 430321.66700000037 4204106.8050999995, 430321.56740000006 4204106.315300001))",
24,"MULTILINESTRING ((217597.9411000004 4046054.6009, 217541.3998999996 4046040.3662, 217540.91480000038 4046040.244000001), (217597.9411000004 4046054.6009, 217735.8077999996 4046086.4014999997, 217855.2706000004 4046113.6415999997, 217855.7583999997 4046113.7529000007), (217855.7583999997 4046113.7529000007, 218024.60059999954 4046264.3529000003, 218205.86319999956 4046432.8836000003, 218379.33600000013 4046596.5634000003, 218425.59979999997 4046868.4821000006, 218472.3635999998 4047142.0306, 218517.74729999993 4047399.9879, 218574.4020999996 4047728.739600001, 218620.5861999998 4047997.6071000006, 218673.6009999998 4048318.617900001, 218689.87239999976 4048406.2634999994, 218706.85390000045 4048497.7391, 218751.35830000043 4048778.727, 218779.5811999999 4048963.6986999996, 218833.28670000006 4049298.2194, 218866.8114 4049606.3189000003, 218891.88690000027 4049965.3321, 218905.95359999966 4050184.9990999997, 218924.38460000046 4050496.7356000002, 218942.79619999975 4050818.3922000006, 218966.92769999988 4051138.8485000003, 218989.60960000008 4051471.7852999996, 219009.4606999997 4051784.9316000007, 219033.6621000003 4052098.377699999, 219044.4782999996 4052276.3113, 219046.09929999989 4052302.9919000007, 219049.02099999972 4052351.1328999996, 219076.08800000045 4052690.7107999995, 219076.1531999996 4052691.5294000003, 219158.56539999973 4053002.5121999998, 219246.43829999957 4053336.9152000006, 219337.18090000004 4053657.3575999998, 219423.66249999963 4053953.5896000005, 219515.75519999955 4054278.0517999995, 219602.2368999999 4054579.9037999995, 219694.3298000004 4054914.256100001, 219780.8214999996 4055216.1877999995, 219864.56259999983 4055505.749500001, 219956.06560000032 4055846.001700001, 220046.30709999986 4056146.1229999997, 220047.46769999992 4056147.5141000003, 220227.93049999978 4056363.8313999996, 220421.50549999997 4056596.9817999993, 220568.05680000037 4056771.5819000006, 220569.49289999995 4056772.3773, 220762.25629999954 4056879.1478000004, 220834.57739999983 4057088.491800001, 220842.8777999999 4057086.0056999996, 220897.17879999988 4057069.7423, 220897.65809999965 4057069.5987), (217344.81579999998 4046084.8358999994, 217349.57070000004 4046080.7744999994, 217400.8125 4046150.7918999996, 217425.93850000016 4046142.205, 217436.0125000002 4046140.6328, 217528.6952999998 4046093.6274999995, 217540.80310000014 4046040.7317999993, 217540.91480000038 4046040.244000001))",
25,"MULTILINESTRING ((431165.42200000025 4180624.9547000006, 431156.79399999976 4180642.3901000004, 431155.92899999954 4180656.365599999, 431171.7383000003 4180664.8115999997, 431164.50930000003 4180677.9740999993, 431154.0630999999 4180676.308, 431140.09889999963 4180680.0885000005, 431081.4155000001 4180777.8114, 431043.40079999994 4180756.987400001, 431043.2818 4180757.0232999995, 430977.2564000003 4180884.0681999996, 430979.7287999997 4180948.8572000004, 430991.30819999985 4180986.5472, 431002.9124999996 4181010.9897000007, 431070.31709999964 4181108.141899999, 430809.2385999998 4181224.8863999993, 430817.591 4181284.7476000004, 430817.59109999985 4181288.0746, 430816.7440999998 4181289.7684000004, 430813.94010000024 4181291.4944, 430685.45639999956 4181346.8113, 430684.11840000004 4181343.4662999995))",
26,"MULTILINESTRING ((507049.0959999999 4076452.070800001, 507040.9888000004 4076448.4277999997, 506910.9009999996 4076425.0577000007, 506898.10730000027 4076415.545499999, 506823.93740000017 4076360.3994999994, 506824.27639999986 4076358.6525))",
65,"MULTILINESTRING ((153361.73340000026 4123237.3463000003, 153357.16249999963 4123233.204500001, 153344.1638000002 4123208.6358000003, 153356.3049999997 4123174.4968999997, 153439.4347000001 4123092.7903000005, 153452.29000000004 4123082.0770999994, 153460.5323999999 4123074.7095999997, 153460.90560000017 4123074.376), (153460.90560000017 4123074.376, 153697.64809999987 4122847.5299999993, 153873.03270000033 4122680.1174999997, 154044.4444000004 4122516.4027999993, 154044.80640000012 4122516.0571), (154044.80640000012 4122516.0571, 154215.6445000004 4122327.3608999997, 154241.21219999995 4122355.2205, 154241.55069999956 4122355.589299999))",
