"id","geom"
153,POINT (369160.01124506525 4063412.0233672448)
154,POINT (451206.34843902616 4090992.573524137)
155,POINT (333807.38624149194 4192413.6245890893)
156,POINT (376192.54939603084 4067544.174130382)
157,POINT (368338.0500296082 4228012.230775545)
158,POINT (443611.083677255 4114830.514071021)
159,POINT (536536.2890682223 4074805.576754931)
160,POINT (286671.0709882765 4132602.518827317)
161,POINT (368146.893812673 4203071.373604191)
162,POINT (256764.12221729066 4043570.3198676794)
163,POINT (235962.30572057678 4142788.7841821765)
164,POINT (244755.08597796212 4138094.443355603)
165,POINT (325096.22049352794 4042305.5853017042)
166,POINT (392919.97473852057 4207358.827567912)
167,POINT (243142.8169792752 4139003.402809277)
168,POINT (446947.28998012864 4235574.120788809)
169,POINT (226614.26538296058 4162080.8623189447)
170,POINT (284433.1710804848 4011834.2247252525)
171,POINT (285245.6125957195 4007097.559484707)
172,POINT (337520.91690342175 4191643.671493272)
173,POINT (350583.48057128454 4131054.070429222)
174,POINT (198088.94145119237 4060692.3369264943)
175,POINT (259740.88769148025 4142682.547696829)
176,POINT (224373.8271689059 4174482.569420989)
177,POINT (271628.85286754905 4109908.911589728)
178,POINT (436442.6944187097 4120052.690333289)
179,POINT (241061.69394968683 4152741.4138487754)
180,POINT (251620.77018677504 4116643.7025648127)
181,POINT (422704.1122834722 4068808.534427828)
182,POINT (184576.2771945977 4180887.8879131656)
183,POINT (265959.7108200924 4151227.830221608)
184,POINT (246458.09737248634 4165598.6022444386)
185,POINT (585429.8789399533 4132337.0445362907)
186,POINT (395727.03680294444 4115703.87813525)
187,POINT (401945.5926521909 4067335.9100187295)
188,POINT (440197.9976443658 4094625.8847050993)
189,POINT (419181.1423504499 4180136.74035895)
190,POINT (546880.72971583 4087544.8687303322)
191,POINT (373108.66058994125 4068461.8694252796)
192,POINT (247784.2594534518 4125701.596148941)
193,POINT (400849.8965218421 4067791.52202894)
194,POINT (246551.12559595995 4046035.7579804775)
195,POINT (594946.6015426887 4115454.147558023)
196,POINT (361622.54893309786 4102156.666414674)
197,POINT (226851.8361076533 4095338.452961932)
198,POINT (229989.851009679 4145731.496172065)
199,POINT (245544.5525244712 4163464.2230686652)
200,POINT (262173.32644244545 3996051.281369782)
