"id","geom","fid"
216,POINT (313300.45987628517 4129261.9793561883),217
217,POINT (420767.14198546717 4145119.755509781),218
218,POINT (443886.37054516893 4216272.56638027),219
219,POINT (214177.12509529912 4058555.684085003),220
220,POINT (489083.56777429924 4218320.702905843),221
221,POINT (522513.8777427519 4153021.496474595),222
222,POINT (157499.36184573406 4123768.0438066404),223
223,POINT (164273.59566529008 4111396.6911193947),224
224,POINT (490794.85690942046 4127492.307597256),225
225,POINT (572602.6954756798 4140795.707545068),226
226,POINT (344770.7037665733 4139044.831139161),227
227,POINT (498802.38854362397 4225376.908820846),228
228,POINT (356728.452197747 4065294.1212257114),229
229,POINT (584889.0510139053 4096326.006204034),230
230,POINT (582220.7081159744 4140214.1316473223),231
231,POINT (334421.8249192374 4128371.8517710576),232
232,POINT (347320.06121494045 4049428.8159153457),233
233,POINT (410971.64491049567 4206936.7427872205),234
234,POINT (437840.88174506574 4104169.4330208553),235
235,POINT (456800.1134547112 4231125.671357665),236
236,POINT (384173.27366713935 4160707.409216207),237
237,POINT (408892.7223851647 4210221.199009896),238
238,POINT (341266.5055116689 4144740.3041897593),239
239,POINT (266188.4740794768 4002997.785982168),240
240,POINT (429917.02507747913 4216391.7044538455),241
241,POINT (346926.9597412496 4155600.002084814),242
242,POINT (419113.106287348 4145662.2921003704),243
243,POINT (578251.761560927 4051983.3305281443),244
244,POINT (167526.88231750717 4124841.542489898),245
245,POINT (183010.2047322685 4126291.2139633517),246
246,POINT (239343.2120103397 4068692.5900794794),247
247,POINT (346422.8185412927 4062034.582300783),248
248,POINT (150073.52413006627 4128585.0340450318),249
249,POINT (566706.1702686964 4136534.3506024545),250
250,POINT (190856.11993110456 4125269.6493981825),251
251,POINT (361583.3564499484 4111936.95522912),252
252,POINT (195919.93236932028 4065619.484096919),253
253,POINT (242765.06213032125 3998856.021612754),254
254,POINT (433075.7357365468 4218196.494104155),255
255,POINT (234541.65967724004 3974511.9134568623),256
256,POINT (430227.8820210991 4183333.918032733),257
257,POINT (220060.725642529 4062569.0517318267),258
258,POINT (237148.62836750282 4134172.2629207973),259
259,POINT (442209.3746587857 4213931.304600126),260
260,POINT (156329.13293881153 4123921.9140537307),261
261,POINT (345085.49844139477 4196070.948013316),262
262,POINT (431875.9360832656 4213953.907389697),263
263,POINT (348794.8648356266 4066087.868737775),264
264,POINT (242798.83796888715 4024774.6260500606),265
265,POINT (450699.94719872787 4084661.7007140494),266
266,POINT (355652.19420194323 4065801.196107033),267
267,POINT (447635.4277708576 4119124.1114252526),268
268,POINT (443155.7285363869 4116799.1985426736),269
269,POINT (248716.19933308163 4008742.1760877217),270
270,POINT (338540.93880042067 4206067.670575219),271
271,POINT (446684.8074768344 4216699.551856223),272
272,POINT (354855.5102590346 4110785.8362438343),273
273,POINT (493917.2161627109 4232365.060642767),274
274,POINT (378706.9274897697 4181372.2632581857),275
275,POINT (490551.9919711042 4234633.662810754),276
276,POINT (151614.29723346478 4098503.4975664653),277
277,POINT (497752.78795292124 4224671.107882587),278
278,POINT (352212.7308029294 4045656.3008064777),279
279,POINT (367758.3145202638 4058923.8820688454),280
280,POINT (345655.56961261854 4175565.54462809),281
281,POINT (351306.192263497 4045087.7132873214),282
282,POINT (244497.23793668975 4140402.8649963066),283
283,POINT (354461.6524990751 4142862.1921958113),284
284,POINT (324361.11343230534 4041698.005728917),285
285,POINT (343355.4959009487 4188168.707738794),286
286,POINT (347945.26028590073 4047614.864238714),287
287,POINT (364393.4207672781 4064816.5769383535),288
288,POINT (216711.41781072348 4132347.1277127904),289
289,POINT (246313.263657817 4137467.8034374695),290
290,POINT (364116.0200881981 4142186.3095946754),291
291,POINT (340229.6225201014 4145883.3449197197),292
292,POINT (348412.8769861685 4196440.615595914),293
293,POINT (109026.3769504535 4130665.7418874544),294
294,POINT (133531.68092310734 4101208.2898787432),295
295,POINT (128721.99453373894 4135145.9977973877),296
296,POINT (339688.76901175786 4045609.1182603277),297
297,POINT (451162.6787019697 4205173.309342303),298
298,POINT (220261.90162293657 4061589.452465935),299
299,POINT (245740.65748747054 4127319.0014877007),300
300,POINT (248245.4870277204 4062588.0049283374),301
301,POINT (426979.5378357076 4183585.2490757084),302
302,POINT (240124.43302863283 4138024.2701840564),303
303,POINT (341562.77578697586 4136509.090930697),304
304,POINT (251733.33708388978 4120771.164856516),305
305,POINT (347540.16781362344 4063328.6130332495),306
306,POINT (142797.44598490372 4099822.3194458745),307
307,POINT (366485.62158709014 4061866.1057523885),308
308,POINT (240852.19935859556 3986736.194541569),309
309,POINT (242165.81236388796 3994298.29708543),310
310,POINT (620262.7888087919 4031261.2018455514),311
311,POINT (364658.2093939647 4067880.9901797557),312
312,POINT (590243.26514181 4140554.729229746),313
313,POINT (168838.00131767362 4125090.969584256),314
